,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.2986769676208496,934.3256225585938,0.13709086179733276,model.layers.0.self_attn.q_proj,"[1.8894052e-13 4.1988296e-13 1.9567002e-12 ... 1.3725076e+02 2.6904639e+02
 9.3432562e+02]",5288.7041015625,3.857717671220896
1,1.3894152641296387,334.80096435546875,0.12778055667877197,model.layers.0.self_attn.k_proj,"[4.6344389e-06 6.0259417e-06 1.0005263e-05 ... 7.5595642e+01 1.1962306e+02
 3.3480096e+02]",2788.07958984375,3.507977180010061
2,2.552455425262451,2.2947616577148438,0.1268966794013977,model.layers.0.self_attn.v_proj,[0.00398918 0.00983627 0.01251864 ... 1.3348352  1.7205625  2.2947617 ],177.8349609375,0.920766605450659
3,1.6980705261230469,20.297832489013672,0.15667510032653809,model.layers.0.self_attn.o_proj,"[8.6117620e-09 1.1741114e-08 4.9569397e-08 ... 7.9371824e+00 8.6244192e+00
 2.0297832e+01]",926.4339599609375,2.220141739005102
4,2.6156625747680664,80.63826751708984,0.08364367485046387,model.layers.0.mlp.gate_proj,"[1.5375027e-02 2.7320325e-02 3.1451121e-02 ... 4.5717926e+01 5.3857956e+01
 8.0638268e+01]",7873.4169921875,4.9868684341381755
5,3.048661470413208,26.37944221496582,0.10930371284484863,model.layers.0.mlp.up_proj,"[1.7630169e-02 3.1898610e-02 3.4051768e-02 ... 1.4381194e+01 1.8012802e+01
 2.6379442e+01]",6478.7548828125,4.33295769920732
6,3.1654016971588135,37.83133316040039,0.1126408576965332,model.layers.0.mlp.down_proj,"[ 0.12117702  0.15134822  0.169294   ... 16.125317   17.68415
 37.831333  ]",6447.51220703125,4.994534277856196
7,1.4853359460830688,155.01010131835938,0.14155417680740356,model.layers.1.self_attn.q_proj,"[1.9287225e-13 7.4163618e-12 1.7190381e-11 ... 4.5052620e+01 5.0489414e+01
 1.5501010e+02]",5680.79931640625,3.2534204430568177
8,1.6946804523468018,80.29055786132812,0.14139091968536377,model.layers.1.self_attn.k_proj,"[3.8672083e-06 4.1195203e-06 4.2059651e-06 ... 3.5238533e+01 3.8207893e+01
 8.0290558e+01]",2900.95849609375,3.22779765476986
9,2.7816097736358643,1.566941261291504,0.14099091291427612,model.layers.1.self_attn.v_proj,[0.01181323 0.02127437 0.0244294  ... 0.8106656  0.9233059  1.5669413 ],252.52398681640625,0.5425605431864933
