,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.2987258434295654,934.263671875,0.13694733381271362,model.layers.0.self_attn.q_proj,"[1.2588318e-13 1.5651904e-12 2.5458073e-12 ... 1.3722043e+02 2.6893378e+02
 9.3426367e+02]",5288.146484375,3.857825457377125
1,1.3894017934799194,334.828125,0.12777531147003174,model.layers.0.self_attn.k_proj,"[4.63546667e-06 6.02915634e-06 1.00046400e-05 ... 7.56163559e+01
 1.19610275e+02 3.34828125e+02]",2788.11962890625,3.5079921189547583
2,2.5522263050079346,2.294991970062256,0.12693887948989868,model.layers.0.self_attn.v_proj,[0.00406109 0.00982306 0.01251195 ... 1.3348958  1.7203646  2.294992  ],177.83444213867188,0.920795193254512
3,1.6979320049285889,20.297672271728516,0.1570095419883728,model.layers.0.self_attn.o_proj,"[5.0781588e-09 2.0505851e-08 4.2878749e-08 ... 7.9379497e+00 8.6265774e+00
 2.0297672e+01]",926.4990234375,2.219954808939132
4,2.615748405456543,80.6248779296875,0.08365809917449951,model.layers.0.mlp.gate_proj,"[1.5383039e-02 2.7333144e-02 3.1441819e-02 ... 4.5709854e+01 5.3851727e+01
 8.0624878e+01]",7873.3203125,4.986843430163933
5,3.049186944961548,26.383665084838867,0.10921329259872437,model.layers.0.mlp.up_proj,"[1.7641598e-02 3.1904612e-02 3.4047246e-02 ... 1.4385071e+01 1.8013664e+01
 2.6383665e+01]",6478.84423828125,4.333916508742867
6,3.164214849472046,37.83242416381836,0.11275738477706909,model.layers.0.mlp.down_proj,"[ 0.12123624  0.15127249  0.16932693 ... 16.123398   17.69234
 37.832424  ]",6447.6318359375,4.992701237769753
7,1.4853025674819946,154.98843383789062,0.14156687259674072,model.layers.1.self_attn.q_proj,"[9.3693532e-13 6.3087474e-12 1.7346321e-11 ... 4.5054085e+01 5.0496624e+01
 1.5498843e+02]",5681.22998046875,3.2532571585941876
8,1.6947085857391357,80.29627990722656,0.14139658212661743,model.layers.1.self_attn.k_proj,"[3.8672110e-06 4.1195372e-06 4.2055667e-06 ... 3.5240005e+01 3.8207073e+01
 8.0296280e+01]",2900.9677734375,3.227903690075077
9,2.781154155731201,1.5669009685516357,0.14111852645874023,model.layers.1.self_attn.v_proj,[0.01180576 0.02126789 0.02444068 ... 0.81078315 0.9234474  1.566901  ],252.52334594726562,0.5424406145640097
10,1.7563831806182861,21.061500549316406,0.15836912393569946,model.layers.1.self_attn.o_proj,"[4.6976846e-11 8.5435046e-09 1.2441903e-07 ... 4.7802677e+00 8.4555817e+00
 2.1061501e+01]",1197.1085205078125,2.32455436333859
11,2.6809134483337402,45.07847595214844,0.08740627765655518,model.layers.1.mlp.gate_proj,"[2.6529595e-02 2.8667821e-02 3.0907279e-02 ... 1.9231359e+01 1.9855930e+01
 4.5078476e+01]",8065.8115234375,4.434148337520499
12,2.8790266513824463,10.116904258728027,0.1175457239151001,model.layers.1.mlp.up_proj,"[ 0.02790421  0.02890452  0.03113382 ...  7.079485    7.2729373
 10.116904  ]",6674.26953125,2.8935589416700536
13,3.2567861080169678,21.43332862854004,0.13308781385421753,model.layers.1.mlp.down_proj,"[ 0.06118546  0.08045236  0.09240423 ... 10.143456   10.790272
 21.433329  ]",6629.16455078125,4.335074192299411
14,1.6589953899383545,87.8388442993164,0.1561627984046936,model.layers.2.self_attn.q_proj,"[7.7475595e-11 1.7615032e-10 1.3943460e-09 ... 2.3579161e+01 2.7826591e+01
 8.7838844e+01]",5139.59228515625,3.224567130628315
15,2.085000514984131,47.77895736694336,0.17907190322875977,model.layers.2.self_attn.k_proj,"[7.3244692e-06 5.0057424e-05 7.7164281e-05 ... 1.6554062e+01 2.0228586e+01
 4.7778957e+01]",3026.900390625,3.5012093182632564
16,2.645521402359009,0.8970118165016174,0.14632683992385864,model.layers.2.self_attn.v_proj,[0.00819384 0.00993711 0.01091646 ... 0.7573127  0.79048604 0.8970118 ],178.30776977539062,-0.12487346704363612
17,1.7739760875701904,16.165821075439453,0.15405166149139404,model.layers.2.self_attn.o_proj,"[8.7653858e-09 2.5041459e-08 7.2412860e-08 ... 4.8244524e+00 5.0781097e+00
 1.6165821e+01]",1013.59619140625,2.144023539362392
18,2.896434783935547,60.71500015258789,0.12101995944976807,model.layers.2.mlp.gate_proj,"[1.7761078e-02 1.8718829e-02 1.9105447e-02 ... 1.6899933e+01 1.8747648e+01
 6.0715000e+01]",8531.349609375,5.165200565740032
19,3.082312822341919,8.932319641113281,0.14037632942199707,model.layers.2.mlp.up_proj,[0.01525742 0.01747136 0.01778625 ... 5.5692058  6.5938334  8.93232   ],6610.6376953125,2.9311693192748987
20,2.9304351806640625,20.804712295532227,0.11612969636917114,model.layers.2.mlp.down_proj,"[ 0.08088385  0.08870062  0.11202915 ... 13.462657   14.305808
 20.804712  ]",6653.43896484375,3.8627874616631184
21,1.7400871515274048,100.085693359375,0.14839309453964233,model.layers.3.self_attn.q_proj,"[9.1027663e-12 3.3003955e-09 7.4218778e-09 ... 2.8843542e+01 3.1116766e+01
 1.0008569e+02]",5186.0576171875,3.4808216192395127
22,2.084205150604248,51.66957473754883,0.1414579153060913,model.layers.3.self_attn.k_proj,"[4.7019999e-05 7.7662487e-05 6.9582247e-04 ... 2.0615028e+01 2.3292049e+01
 5.1669575e+01]",3022.759033203125,3.57073297595774
23,2.9683523178100586,0.844122588634491,0.1341528296470642,model.layers.3.self_attn.v_proj,[0.02457274 0.02960428 0.03164756 ... 0.80097836 0.8037682  0.8441226 ],251.4845428466797,-0.21845433904868172
24,1.8530910015106201,14.327897071838379,0.15478891134262085,model.layers.3.self_attn.o_proj,"[1.7412235e-09 3.5392191e-08 1.2757491e-07 ... 3.6266925e+00 4.2039866e+00
 1.4327897e+01]",1324.4537353515625,2.1425112997313964
25,2.820326089859009,84.68363952636719,0.1073610782623291,model.layers.3.mlp.gate_proj,"[1.4052167e-02 1.4933362e-02 1.5966220e-02 ... 2.4862722e+01 2.8920502e+01
 8.4683640e+01]",9614.419921875,5.43702326766537
26,3.1595826148986816,7.5464582443237305,0.143207848072052,model.layers.3.mlp.up_proj,[0.01458872 0.0154929  0.01601441 ... 5.782183   6.808818   7.5464582 ],6366.44677734375,2.7733020709324627
27,2.852001428604126,16.067962646484375,0.12131333351135254,model.layers.3.mlp.down_proj,"[1.2898997e-02 4.2531580e-02 5.0845675e-02 ... 1.0015414e+01 1.0328242e+01
 1.6067963e+01]",6342.0244140625,3.4394019627934305
28,1.7085586786270142,102.00692749023438,0.14032912254333496,model.layers.4.self_attn.q_proj,"[8.3556456e-10 4.8559357e-09 1.7053720e-08 ... 2.8524845e+01 3.2179768e+01
 1.0200693e+02]",5053.04052734375,3.4318616489356506
29,2.054327964782715,57.020423889160156,0.14482343196868896,model.layers.4.self_attn.k_proj,"[6.8843859e-04 9.8543952e-04 1.5025027e-03 ... 2.1284185e+01 2.3880985e+01
 5.7020424e+01]",2922.997314453125,3.6074624430355917
30,2.919013023376465,1.0974401235580444,0.1345752477645874,model.layers.4.self_attn.v_proj,[0.01732683 0.01969301 0.02143881 ... 0.94572765 1.0335066  1.0974401 ],292.70684814453125,0.11787218153919281
31,1.7807189226150513,10.700955390930176,0.15605562925338745,model.layers.4.self_attn.o_proj,"[2.7944715e-09 1.5142152e-08 5.6865620e-08 ... 4.2242970e+00 4.6560926e+00
 1.0700955e+01]",1385.9171142578125,1.8331122205951729
32,2.77984619140625,126.22946166992188,0.10932105779647827,model.layers.4.mlp.gate_proj,"[1.2909199e-02 1.7192699e-02 5.2337427e-02 ... 2.5253635e+01 2.7231440e+01
 1.2622946e+02]",10717.9345703125,5.840903653060683
33,3.2081336975097656,8.126952171325684,0.14010310173034668,model.layers.4.mlp.up_proj,[0.01250658 0.01543647 0.03869037 ... 5.7811675  7.1100183  8.126952  ],6047.009765625,2.9191697290314442
34,2.963862419128418,18.793088912963867,0.12052905559539795,model.layers.4.mlp.down_proj,"[ 0.06138296  0.07305001  0.07805774 ...  9.742378   16.850012
 18.793089  ]",6026.9638671875,3.775955293588695
35,1.646215796470642,89.0142822265625,0.14122319221496582,model.layers.5.self_attn.q_proj,"[2.06355075e-08 6.67221300e-08 1.10599856e-07 ... 2.53558235e+01
 2.85317631e+01 8.90142822e+01]",4995.412109375,3.2092313432146176
36,2.1379213333129883,58.24710464477539,0.14493554830551147,model.layers.5.self_attn.k_proj,"[1.0476378e-02 1.1813275e-02 1.2855769e-02 ... 1.7743603e+01 2.0548141e+01
 5.8247105e+01]",2948.49560546875,3.7740176754756973
37,2.74702787399292,0.8291316032409668,0.13638263940811157,model.layers.5.self_attn.v_proj,[0.01129489 0.01351004 0.01385791 ... 0.77848214 0.79574114 0.8291316 ],200.85250854492188,-0.22354359877889476
38,1.741549015045166,6.866968154907227,0.1476292610168457,model.layers.5.self_attn.o_proj,"[1.4119409e-09 5.6862812e-09 5.2320150e-08 ... 3.8877652e+00 4.0056572e+00
 6.8669682e+00]",1186.2303466796875,1.4572673197212278
39,2.7416911125183105,128.13034057617188,0.11229908466339111,model.layers.5.mlp.gate_proj,"[9.8858569e-03 4.2227082e-02 1.1645252e-01 ... 2.2591333e+01 2.3612537e+01
 1.2813034e+02]",10707.796875,5.778530703279231
40,3.128662109375,10.205689430236816,0.13847225904464722,model.layers.5.mlp.up_proj,"[8.8720834e-03 3.0399203e-02 7.7736206e-02 ... 6.4966826e+00 7.6341610e+00
 1.0205689e+01]",6117.7568359375,3.1563268290326696
41,2.901204824447632,17.851119995117188,0.11671185493469238,model.layers.5.mlp.down_proj,"[ 0.03565521  0.0381352   0.04054112 ... 10.62433    11.809364
 17.85112   ]",6080.2880859375,3.631337898198467
42,1.6960713863372803,88.48688507080078,0.13061171770095825,model.layers.6.self_attn.q_proj,"[1.40874965e-08 1.58979688e-07 2.59957687e-07 ... 2.55397243e+01
 2.83010063e+01 8.84868851e+01]",5202.05224609375,3.3020456072825026
43,2.094907283782959,65.82830047607422,0.13866674900054932,model.layers.6.self_attn.k_proj,"[1.5180307e-02 1.5787691e-02 2.1576602e-02 ... 2.1156254e+01 2.2534971e+01
 6.5828300e+01]",2939.75537109375,3.8094058903819237
44,2.882563591003418,0.9779142737388611,0.14535647630691528,model.layers.6.self_attn.v_proj,[0.00827594 0.00953602 0.01026929 ... 0.8923294  0.96648926 0.9779143 ],238.28330993652344,-0.027958603494788452
45,1.7653286457061768,7.418163776397705,0.1524835228919983,model.layers.6.self_attn.o_proj,"[9.5075245e-09 2.4417286e-08 9.9070405e-08 ... 3.9699886e+00 4.1026449e+00
 7.4181638e+00]",1292.330322265625,1.5363591957951699
46,2.695128917694092,133.62112426757812,0.11340385675430298,model.layers.6.mlp.gate_proj,"[7.6582734e-03 3.5677128e-02 4.9983513e-02 ... 2.5639317e+01 2.7636570e+01
 1.3362112e+02]",10823.330078125,5.729507515414984
47,3.0588440895080566,10.622430801391602,0.13199108839035034,model.layers.6.mlp.up_proj,"[6.6726776e-03 2.4993379e-02 4.3336067e-02 ... 7.3148928e+00 8.1595755e+00
 1.0622431e+01]",6114.7265625,3.1390589434785623
48,2.83895206451416,23.724422454833984,0.1142960786819458,model.layers.6.mlp.down_proj,"[2.2025239e-02 4.2561937e-02 5.0467134e-02 ... 1.0538476e+01 1.0942206e+01
 2.3724422e+01]",6073.94091796875,3.904114526280021
