,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.3623751401901245,933.7600708007812,0.1272117793560028,model.layers.0.self_attn.q_proj,"[1.0004404e-13 3.8258725e-13 2.8432443e-12 ... 1.3724210e+02 2.6885632e+02
 9.3376007e+02]",5288.125,4.046574731609824
1,1.3268635272979736,334.8230895996094,0.12112647294998169,model.layers.0.self_attn.k_proj,"[4.6349751e-06 6.0306443e-06 1.0005136e-05 ... 7.5608261e+01 1.1960029e+02
 3.3482309e+02]",2788.1318359375,3.35008546683639
2,3.5058271884918213,2.295055866241455,0.09015583992004395,model.layers.0.self_attn.v_proj,[0.00402071 0.00982223 0.01250332 ... 1.3349404  1.7202901  2.2950559 ],177.837646484375,1.2648788259301083
3,2.807368278503418,20.293363571166992,0.09515997767448425,model.layers.0.self_attn.o_proj,"[1.2243036e-08 2.6016419e-08 3.5601630e-08 ... 7.9375625e+00 8.6237917e+00
 2.0293364e+01]",926.4266967773438,3.670224249882156
4,3.0381686687469482,80.61245727539062,0.02144443988800049,model.layers.0.mlp.gate_proj,"[1.5382320e-02 2.7343271e-02 3.1448890e-02 ... 4.5706818e+01 5.3848297e+01
 8.0612457e+01]",7873.4580078125,5.791971311842741
5,4.062167167663574,26.394493103027344,0.03462284803390503,model.layers.0.mlp.up_proj,"[1.7645067e-02 3.1906955e-02 3.4051631e-02 ... 1.4389242e+01 1.8023243e+01
 2.6394493e+01]",6478.572265625,5.774424761046066
6,4.157793045043945,37.835723876953125,0.03688323497772217,model.layers.0.mlp.down_proj,"[ 0.12123163  0.15128486  0.16929933 ... 16.123306   17.683453
 37.835724  ]",6447.64453125,6.5605901582311015
7,1.7710902690887451,155.0077362060547,0.11144435405731201,model.layers.1.self_attn.q_proj,"[3.5747631e-13 8.0948113e-12 1.8881416e-11 ... 4.5038345e+01 5.0481480e+01
 1.5500774e+02]",5681.345703125,3.8793135460332357
8,1.9147542715072632,80.29582214355469,0.12864822149276733,model.layers.1.self_attn.k_proj,"[3.8671569e-06 4.1197227e-06 4.2054685e-06 ... 3.5241371e+01 3.8207577e+01
 8.0295822e+01]",2900.9443359375,3.6470189603407652
9,4.401287078857422,1.5668917894363403,0.10633477568626404,model.layers.1.self_attn.v_proj,[0.01180449 0.02126391 0.02442736 ... 0.8106801  0.9233886  1.5668918 ],252.52578735351562,0.8584226518996454
10,2.8177061080932617,21.059968948364258,0.07353556156158447,model.layers.1.self_attn.o_proj,"[9.21041021e-10 8.28168645e-09 1.12741056e-07 ... 4.77919579e+00
 8.45650101e+00 2.10599689e+01]",1196.941650390625,3.729114919788467
11,3.1562018394470215,45.08116149902344,0.022269010543823242,model.layers.1.mlp.gate_proj,"[2.6544226e-02 2.8679911e-02 3.0903747e-02 ... 1.9221224e+01 1.9848248e+01
 4.5081161e+01]",8065.7490234375,5.220342367432418
12,4.46571159362793,10.116998672485352,0.037538766860961914,model.layers.1.mlp.up_proj,"[ 0.02790029  0.02891166  0.0311469  ...  7.0795116   7.27246
 10.116999  ]",6674.1083984375,4.488270997658995
13,5.60082483291626,21.43407440185547,0.03136169910430908,model.layers.1.mlp.down_proj,"[ 0.06124376  0.0804467   0.09240186 ... 10.144357   10.789199
 21.434074  ]",6629.498046875,7.455284448839634
14,2.482421875,87.83194732666016,0.10162386298179626,model.layers.2.self_attn.q_proj,"[7.0555728e-11 1.8240832e-10 1.3067083e-09 ... 2.3573971e+01 2.7829138e+01
 8.7831947e+01]",5139.71728515625,4.824965512254994
15,4.59548282623291,47.77915954589844,0.0838279128074646,model.layers.2.self_attn.k_proj,"[7.3237811e-06 5.0052167e-05 7.7156445e-05 ... 1.6554407e+01 2.0228020e+01
 4.7779160e+01]",3026.900390625,7.716911715799533
16,4.885364532470703,0.8968836665153503,0.04586556553840637,model.layers.2.self_attn.v_proj,[0.00818931 0.00993763 0.01091181 ... 0.75723296 0.7905152  0.89688367],178.3096466064453,-0.2309013075077736
17,2.7961907386779785,16.168283462524414,0.06795793771743774,model.layers.2.self_attn.o_proj,"[1.3166780e-08 2.5091293e-08 6.4864359e-08 ... 4.8253436e+00 5.0800891e+00
 1.6168283e+01]",1013.5288696289062,3.3796548442617023
18,4.398893356323242,60.72350311279297,0.04040485620498657,model.layers.2.mlp.gate_proj,"[1.7766507e-02 1.8718086e-02 1.9111199e-02 ... 1.6894606e+01 1.8746302e+01
 6.0723503e+01]",8531.1396484375,7.844796458091422
19,6.7435221672058105,8.932942390441895,0.08523106575012207,model.layers.2.mlp.up_proj,[0.0152606  0.0174671  0.01779051 ... 5.571174   6.5925035  8.932942  ],6610.78271484375,6.413052715414416
20,4.432951927185059,20.804630279541016,0.017363131046295166,model.layers.2.mlp.down_proj,"[ 0.0809283   0.08871165  0.11206002 ... 13.463063   14.307318
 20.80463   ]",6653.146484375,5.843339922629872
21,2.2584757804870605,100.08397674560547,0.10981941223144531,model.layers.3.self_attn.q_proj,"[1.7372140e-11 3.6029018e-09 6.9535555e-09 ... 2.8826723e+01 3.1103979e+01
 1.0008398e+02]",5185.5009765625,4.517774895826287
22,2.487412452697754,51.6771354675293,0.13388356566429138,model.layers.3.self_attn.k_proj,"[4.7014993e-05 7.7667413e-05 6.9586717e-04 ... 2.0614687e+01 2.3293821e+01
 5.1677135e+01]",3022.76025390625,4.2616798552738056
