,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,2.4845352172851562,934.162841796875,0.028007090091705322,model.layers.0.self_attn.q_proj,"[1.4090970e-13 1.3818814e-12 1.5012479e-12 ... 1.3722015e+02 2.6885727e+02
 9.3416284e+02]",5287.97802734375,7.380119531000022
1,2.6447205543518066,334.8119201660156,0.045735567808151245,model.layers.0.self_attn.k_proj,"[4.63514152e-06 6.02748469e-06 1.00041498e-05 ... 7.56117935e+01
 1.19606125e+02 3.34811920e+02]",2788.13720703125,6.677392866548643
2,4.549767017364502,2.294569730758667,0.03474140167236328,model.layers.0.self_attn.v_proj,[0.00403968 0.00982794 0.01251139 ... 1.3347776  1.7205137  2.2945697 ],177.83401489257812,1.6411066968274435
3,3.6777045726776123,20.297285079956055,0.010979682207107544,model.layers.0.self_attn.o_proj,"[8.9340926e-09 1.5054773e-08 3.8058129e-08 ... 7.9360528e+00 8.6269722e+00
 2.0297285e+01]",926.4649047851562,4.8083705328221065
4,3.0383379459381104,80.63230895996094,0.02143573760986328,model.layers.0.mlp.gate_proj,"[1.5380054e-02 2.7326765e-02 3.1440966e-02 ... 4.5712547e+01 5.3852280e+01
 8.0632309e+01]",7873.212890625,5.792618931533007
5,4.061534881591797,26.384389877319336,0.0345844030380249,model.layers.0.mlp.up_proj,"[1.7629096e-02 3.1902488e-02 3.4045510e-02 ... 1.4391240e+01 1.8016094e+01
 2.6384390e+01]",6478.5712890625,5.77285064613484
6,3.5776526927948,37.83546829223633,0.025225818157196045,model.layers.0.mlp.down_proj,"[ 0.12123635  0.1512884   0.16930655 ... 16.127228   17.686876
 37.83547   ]",6447.54052734375,5.645175012836961
7,3.60689115524292,155.03541564941406,0.03194481134414673,model.layers.1.self_attn.q_proj,"[3.6063706e-13 6.1421267e-12 1.7954417e-11 ... 4.5039761e+01 5.0498882e+01
 1.5503542e+02]",5680.7529296875,7.900645904086307
8,4.081751823425293,80.29821014404297,0.02965790033340454,model.layers.1.self_attn.k_proj,"[3.8671219e-06 4.1197095e-06 4.2058009e-06 ... 3.5241837e+01 3.8206608e+01
 8.0298210e+01]",2900.96142578125,7.77453663720437
9,8.695080757141113,1.5669039487838745,0.0514339804649353,model.layers.1.self_attn.v_proj,[0.01180761 0.02126904 0.02443845 ... 0.8106451  0.9233379  1.566904  ],252.52578735351562,1.6959092019649002
10,3.7488245964050293,21.061145782470703,0.02157004177570343,model.layers.1.self_attn.o_proj,"[5.0407751e-11 7.4001467e-09 1.3887900e-07 ... 4.7810507e+00 8.4545050e+00
 2.1061146e+01]",1197.12890625,4.961501853017178
11,3.1551480293273926,45.077972412109375,0.022318661212921143,model.layers.1.mlp.gate_proj,"[2.6531566e-02 2.8664066e-02 3.0910496e-02 ... 1.9229708e+01 1.9846527e+01
 4.5077972e+01]",8065.625,5.218502433416762
12,4.557323455810547,10.117877960205078,0.03388175368309021,model.layers.1.mlp.up_proj,"[ 0.02790315  0.02889582  0.03113415 ...  7.078758    7.2732315
 10.117878  ]",6674.17578125,4.580517665206388
13,4.783621788024902,21.43378448486328,0.021809637546539307,model.layers.1.mlp.down_proj,"[ 0.06109896  0.08047273  0.09243676 ... 10.144572   10.791403
 21.433784  ]",6629.28955078125,6.367473506793707
14,3.3854610919952393,87.8378677368164,0.026981711387634277,model.layers.2.self_attn.q_proj,"[6.7619445e-11 1.5668843e-10 1.3361789e-09 ... 2.3580309e+01 2.7827377e+01
 8.7837868e+01]",5140.0224609375,6.580259057459322
15,5.522181510925293,47.778114318847656,0.03443245589733124,model.layers.2.self_attn.k_proj,"[7.3251699e-06 5.0053037e-05 7.7159762e-05 ... 1.6554085e+01 2.0228909e+01
 4.7778114e+01]",3026.903076171875,9.273007365395191
16,4.908761978149414,0.8970524668693542,0.04458272457122803,model.layers.2.self_attn.v_proj,[0.00818804 0.00993453 0.01092739 ... 0.7573711  0.7904929  0.89705247],178.30877685546875,-0.23160596932641067
17,3.240950107574463,16.168846130371094,0.013401955366134644,model.layers.2.self_attn.o_proj,"[8.0829023e-09 2.5956508e-08 7.0420143e-08 ... 4.8253770e+00 5.0775690e+00
 1.6168846e+01]",1013.5955810546875,3.917268426227149
18,4.608780384063721,60.71615219116211,0.022457659244537354,model.layers.2.mlp.gate_proj,"[1.7760780e-02 1.8709704e-02 1.9115381e-02 ... 1.6895895e+01 1.8748899e+01
 6.0716152e+01]",8531.013671875,8.218857604276078
19,10.589798927307129,8.93399429321289,0.03450411558151245,model.layers.2.mlp.up_proj,[0.01525772 0.01747533 0.01777565 ... 5.5691843  6.592734   8.933994  ],6610.818359375,10.071382423617846
20,4.480184078216553,20.804502487182617,0.012402236461639404,model.layers.2.mlp.down_proj,"[ 0.08089235  0.08864347  0.11203689 ... 13.461629   14.304912
 20.804502  ]",6653.44384765625,5.905587503333939
21,3.3716635704040527,100.09532928466797,0.01854395866394043,model.layers.3.self_attn.q_proj,"[1.7766580e-12 3.3853249e-09 7.4447066e-09 ... 2.8839552e+01 3.1114910e+01
 1.0009533e+02]",5185.7861328125,6.744722377716868
22,5.020945072174072,51.66633224487305,0.03621317446231842,model.layers.3.self_attn.k_proj,"[4.7018275e-05 7.7667253e-05 6.9572363e-04 ... 2.0615229e+01 2.3292915e+01
 5.1666332e+01]",3022.75048828125,8.60192141947152
23,6.393892765045166,0.8440588116645813,0.08172592520713806,model.layers.3.self_attn.v_proj,[0.02456968 0.02960308 0.0316432  ... 0.8010414  0.803903   0.8440588 ],251.48471069335938,-0.4707650089347462
24,3.2895054817199707,14.326924324035645,0.03787422180175781,model.layers.3.self_attn.o_proj,"[2.3390772e-09 3.7426030e-08 1.1974143e-07 ... 3.6264746e+00 4.2043786e+00
 1.4326924e+01]",1324.5093994140625,3.8031715223816933
25,3.524195671081543,84.6762924194336,0.022462964057922363,model.layers.3.mlp.gate_proj,"[1.4050304e-02 1.4932036e-02 1.5954711e-02 ... 2.4871681e+01 2.8933170e+01
 8.4676292e+01]",9614.61328125,6.793809910366548
26,9.679906845092773,7.5464606285095215,0.02466791868209839,model.layers.3.mlp.up_proj,[0.01459308 0.01548364 0.01601041 ... 5.7794285  6.808818   7.5464606 ],6366.4111328125,8.496473480323921
27,5.092477321624756,16.06949806213379,0.02503982186317444,model.layers.3.mlp.down_proj,"[1.2899105e-02 4.2500831e-02 5.0846059e-02 ... 1.0016158e+01 1.0330334e+01
 1.6069498e+01]",6342.150390625,6.141539421626246
28,3.4043359756469727,101.99596405029297,0.02434612810611725,model.layers.4.self_attn.q_proj,"[1.04522258e-09 4.99576380e-09 1.61795501e-08 ... 2.85296345e+01
 3.21856766e+01 1.01995964e+02]",5053.45166015625,6.837891323395766
