,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.2986828088760376,934.346923828125,0.13704591989517212,model.layers.0.self_attn.q_proj,"[2.1360749e-13 1.2961261e-12 2.2622401e-12 ... 1.3724867e+02 2.6886484e+02
 9.3434692e+02]",5288.85546875,3.857747881140665
1,1.3894124031066895,334.78924560546875,0.1277683973312378,model.layers.0.self_attn.k_proj,"[4.6349842e-06 6.0289185e-06 1.0004525e-05 ... 7.5616837e+01 1.1961587e+02
 3.3478925e+02]",2788.070556640625,3.507948835381935
2,2.5523786544799805,2.2943758964538574,0.12691432237625122,model.layers.0.self_attn.v_proj,[0.00400638 0.00983168 0.0125214  ... 1.3349079  1.7203811  2.294376  ],177.8311767578125,0.9205525538124558
3,1.6980116367340088,20.296955108642578,0.15672773122787476,model.layers.0.self_attn.o_proj,"[4.6566480e-09 1.4264026e-08 5.0801702e-08 ... 7.9360838e+00 8.6258850e+00
 2.0296955e+01]",926.4579467773438,2.220032867447889
4,2.615997552871704,80.64155578613281,0.08367347717285156,model.layers.0.mlp.gate_proj,"[1.5381037e-02 2.7318187e-02 3.1447288e-02 ... 4.5705063e+01 5.3856800e+01
 8.0641556e+01]",7873.70361328125,4.987553411198621
5,3.047952175140381,26.380678176879883,0.10940301418304443,model.layers.0.mlp.up_proj,"[1.7630409e-02 3.1904548e-02 3.4053914e-02 ... 1.4382841e+01 1.8012394e+01
 2.6380678e+01]",6478.6357421875,4.332011620802427
6,3.165426731109619,37.83612823486328,0.11254173517227173,model.layers.0.mlp.down_proj,"[ 0.12120775  0.15132177  0.1693182  ... 16.123344   17.68561
 37.83613   ]",6447.60791015625,4.994748011659648
7,1.485357403755188,155.02194213867188,0.14153051376342773,model.layers.1.self_attn.q_proj,"[2.0555869e-13 6.7725209e-12 1.6938799e-11 ... 4.5032291e+01 5.0492119e+01
 1.5502194e+02]",5681.740234375,3.2535167173854513
8,1.6946759223937988,80.29534149169922,0.1413799524307251,model.layers.1.self_attn.k_proj,"[3.866717e-06 4.119339e-06 4.205626e-06 ... 3.523944e+01 3.820520e+01
 8.029534e+01]",2900.9560546875,3.227832874868974
9,2.781071901321411,1.5669723749160767,0.14107728004455566,model.layers.1.self_attn.v_proj,[0.01180754 0.02127199 0.02442467 ... 0.81072605 0.9233733  1.5669724 ],252.52206420898438,0.5424796119903207
10,1.7565248012542725,21.060117721557617,0.15871161222457886,model.layers.1.self_attn.o_proj,"[6.4229561e-10 7.9864284e-09 1.4951790e-07 ... 4.7807369e+00 8.4534512e+00
 2.1060118e+01]",1196.9119873046875,2.324691708973535
11,2.681000232696533,45.0787467956543,0.08740365505218506,model.layers.1.mlp.gate_proj,"[2.6526459e-02 2.8655499e-02 3.0915258e-02 ... 1.9219797e+01 1.9849497e+01
 4.5078747e+01]",8065.74609375,4.434298871851643
12,2.879370927810669,10.118758201599121,0.11749470233917236,model.layers.1.mlp.up_proj,"[ 0.02789432  0.02889786  0.03113059 ...  7.078882    7.273139
 10.118758  ]",6674.169921875,2.894134090571683
13,3.256319999694824,21.442991256713867,0.13342523574829102,model.layers.1.mlp.down_proj,"[ 0.06107196  0.08045669  0.09241126 ... 10.144577   10.789651
 21.442991  ]",6629.3876953125,4.335091170765116
14,1.6589024066925049,87.83246612548828,0.15616703033447266,model.layers.2.self_attn.q_proj,"[5.1476351e-11 1.6059525e-10 1.3270235e-09 ... 2.3581694e+01 2.7832308e+01
 8.7832466e+01]",5139.72705078125,3.224334084805086
15,2.0849246978759766,47.7802619934082,0.17904508113861084,model.layers.2.self_attn.k_proj,"[7.3251385e-06 5.0056628e-05 7.7163008e-05 ... 1.6553953e+01 2.0229778e+01
 4.7780262e+01]",3026.91015625,3.501106727368793
16,2.645547866821289,0.8971313834190369,0.14623868465423584,model.layers.2.self_attn.v_proj,[0.00819165 0.00993686 0.01091046 ... 0.7572977  0.79052186 0.8971314 ],178.3075714111328,-0.12472157790105723
17,1.7743879556655884,16.173479080200195,0.15389013290405273,model.layers.2.self_attn.o_proj,"[1.0569545e-08 2.2882483e-08 6.1170944e-08 ... 4.8261514e+00 5.0794153e+00
 1.6173479e+01]",1013.550537109375,2.1448862844439405
18,2.8955845832824707,60.70986557006836,0.12126249074935913,model.layers.2.mlp.gate_proj,"[1.7765002e-02 1.8713679e-02 1.9106634e-02 ... 1.6894512e+01 1.8745543e+01
 6.0709866e+01]",8531.21875,5.1635780537262574
19,3.0829124450683594,8.933402061462402,0.14022821187973022,model.layers.2.mlp.up_proj,[0.01525214 0.01747926 0.01777383 ... 5.57035    6.5935173  8.933402  ],6610.83642578125,2.9319017764189566
20,2.9297003746032715,20.804576873779297,0.11626696586608887,model.layers.2.mlp.down_proj,"[ 0.08086491  0.08864518  0.1120927  ... 13.463361   14.30122
 20.804577  ]",6653.36376953125,3.861810586438234
21,1.7402156591415405,100.08289337158203,0.14837568998336792,model.layers.3.self_attn.q_proj,"[6.1004305e-12 3.2157357e-09 7.7556104e-09 ... 2.8840664e+01 3.1113926e+01
 1.0008289e+02]",5186.10888671875,3.4810575387381206
22,2.0841288566589355,51.6722412109375,0.1414775848388672,model.layers.3.self_attn.k_proj,"[4.7014506e-05 7.7667086e-05 6.9565634e-04 ... 2.0614578e+01 2.3294189e+01
 5.1672241e+01]",3022.7626953125,3.5706489754518835
23,2.968243360519409,0.8440561890602112,0.13422465324401855,model.layers.3.self_attn.v_proj,[0.02456371 0.02960847 0.03164625 ... 0.80099565 0.8037195  0.8440562 ],251.4837188720703,-0.21854772569761755
24,1.85270094871521,14.32784652709961,0.15487885475158691,model.layers.3.self_attn.o_proj,"[1.3399517e-09 3.3343756e-08 9.7285614e-08 ... 3.6265626e+00 4.2050710e+00
 1.4327847e+01]",1324.510986328125,2.142057489066245
25,2.8203468322753906,84.68859100341797,0.10741692781448364,model.layers.3.mlp.gate_proj,"[1.4044360e-02 1.4930463e-02 1.5952483e-02 ... 2.4864462e+01 2.8926138e+01
 8.4688591e+01]",9614.841796875,5.437134870774977
26,3.1602344512939453,7.544343948364258,0.14312398433685303,model.layers.3.mlp.up_proj,[0.01458656 0.01548158 0.01600206 ... 5.778978   6.8069715  7.544344  ],6366.58984375,2.7734896355497862
27,2.851283311843872,16.068557739257812,0.1213994026184082,model.layers.3.mlp.down_proj,"[1.28988465e-02 4.24947739e-02 5.08303270e-02 ... 1.00139170e+01
 1.03310308e+01 1.60685577e+01]",6342.10009765625,3.4385818028026045
28,1.7086317539215088,102.00690460205078,0.14018458127975464,model.layers.4.self_attn.q_proj,"[1.07569265e-09 5.03147657e-09 1.66312599e-08 ... 2.85308819e+01
 3.21881332e+01 1.02006905e+02]",5053.380859375,3.4320082636399656
29,2.0542421340942383,57.016319274902344,0.14489704370498657,model.layers.4.self_attn.k_proj,"[6.8840821e-04 9.8552764e-04 1.5020649e-03 ... 2.1283701e+01 2.3877514e+01
 5.7016319e+01]",2923.0048828125,3.6072474983056866
30,2.9188435077667236,1.0972278118133545,0.13472479581832886,model.layers.4.self_attn.v_proj,[0.01733656 0.01968895 0.02143458 ... 0.94578636 1.0334569  1.0972278 ],292.70477294921875,0.11762007432653586
31,1.780670404434204,10.701215744018555,0.156014084815979,model.layers.4.self_attn.o_proj,"[2.8014421e-10 1.9211710e-08 4.9445045e-08 ... 4.2232018e+00 4.6547499e+00
 1.0701216e+01]",1385.9105224609375,1.8330810898217014
32,2.7792458534240723,126.15757751464844,0.10942429304122925,model.layers.4.mlp.gate_proj,"[1.2900371e-02 1.7182615e-02 5.2353401e-02 ... 2.5255337e+01 2.7231319e+01
 1.2615758e+02]",10717.52734375,5.83895469152288
33,3.2087104320526123,8.127143859863281,0.14003604650497437,model.layers.4.mlp.up_proj,[0.01250547 0.01542418 0.03868417 ... 5.782978   7.110051   8.127144  ],6047.142578125,2.919727384138909
34,2.9634203910827637,18.789306640625,0.12067216634750366,model.layers.4.mlp.down_proj,"[ 0.06130311  0.07306391  0.07810928 ...  9.740708   16.842617
 18.789307  ]",6026.90234375,3.7751331052525803
35,1.6460909843444824,89.02310180664062,0.1414070725440979,model.layers.5.self_attn.q_proj,"[2.1051401e-08 6.7859936e-08 1.0066182e-07 ... 2.5362869e+01 2.8534096e+01
 8.9023102e+01]",4995.5234375,3.209058854983853
36,2.137772560119629,58.24585723876953,0.14495712518692017,model.layers.5.self_attn.k_proj,"[1.04760025e-02 1.18177263e-02 1.28569268e-02 ... 1.77432728e+01
 2.05488377e+01 5.82458572e+01]",2948.49462890625,3.773735166881434
37,2.747431516647339,0.8289596438407898,0.13649779558181763,model.layers.5.self_attn.v_proj,[0.01129495 0.01350525 0.01385746 ... 0.77851254 0.7957748  0.82895964],200.85336303710938,-0.22382393640115392
38,1.74153470993042,6.866124629974365,0.14764487743377686,model.layers.5.self_attn.o_proj,"[1.05421845e-10 3.59269858e-09 3.11464063e-08 ... 3.88677764e+00
 4.00548840e+00 6.86612463e+00]",1186.3614501953125,1.4571624368021923
39,2.7427353858947754,128.1663818359375,0.1120837926864624,model.layers.5.mlp.gate_proj,"[9.8792221e-03 4.2213168e-02 1.1645543e-01 ... 2.2595472e+01 2.3608128e+01
 1.2816638e+02]",10707.6875,5.78106667609208
40,3.1286306381225586,10.205556869506836,0.13850092887878418,model.layers.5.mlp.up_proj,"[8.8627581e-03 3.0393399e-02 7.7716753e-02 ... 6.4961929e+00 7.6358714e+00
 1.0205557e+01]",6117.9755859375,3.1562774307499137
41,2.901623249053955,17.84890365600586,0.11636018753051758,model.layers.5.mlp.down_proj,"[ 0.03565525  0.03812442  0.04051679 ... 10.625151   11.815544
 17.848904  ]",6080.09716796875,3.631705158728581
42,1.696162462234497,88.47197723388672,0.1306057572364807,model.layers.6.self_attn.q_proj,"[8.8369720e-09 1.8443536e-07 2.9082864e-07 ... 2.5540188e+01 2.8294737e+01
 8.8471977e+01]",5201.88330078125,3.3020988060830287
43,2.0949344635009766,65.82132720947266,0.13868975639343262,model.layers.6.self_attn.k_proj,"[1.5164515e-02 1.5777403e-02 2.1572212e-02 ... 2.1158873e+01 2.2533251e+01
 6.5821327e+01]",2939.73828125,3.8093589311155185
44,2.882239818572998,0.9778212308883667,0.14555585384368896,model.layers.6.self_attn.v_proj,[0.00826797 0.00954121 0.0102602  ... 0.8921742  0.9664974  0.97782123],238.28289794921875,-0.02807456467753233
45,1.7654106616973877,7.417741775512695,0.15250557661056519,model.layers.6.self_attn.o_proj,"[6.9255846e-10 2.5339240e-08 9.5352640e-08 ... 3.9690216e+00 4.1025696e+00
 7.4177418e+00]",1292.241455078125,1.53638695666067
46,2.695650577545166,133.58383178710938,0.11333376169204712,model.layers.6.mlp.gate_proj,"[7.6485211e-03 3.5682071e-02 4.9983874e-02 ... 2.5632576e+01 2.7637428e+01
 1.3358383e+02]",10823.474609375,5.730289719716593
47,3.0573246479034424,10.623090744018555,0.1321868896484375,model.layers.6.mlp.up_proj,"[6.6681919e-03 2.4980769e-02 4.3335460e-02 ... 7.3138843e+00 8.1593561e+00
 1.0623091e+01]",6114.876953125,3.1375821449091696
48,2.839122772216797,23.725385665893555,0.1142461895942688,model.layers.6.mlp.down_proj,"[2.2012286e-02 4.2539004e-02 5.0464489e-02 ... 1.0537073e+01 1.0940261e+01
 2.3725386e+01]",6073.8271484375,3.9043993421514798
49,1.6726469993591309,88.75230407714844,0.13378500938415527,model.layers.7.self_attn.q_proj,"[1.0760856e-10 4.4218769e-08 2.5682672e-07 ... 3.0358799e+01 3.0515615e+01
 8.8752304e+01]",4777.392578125,3.2586168231837536
50,2.0797529220581055,65.98965454101562,0.13831496238708496,model.layers.7.self_attn.k_proj,"[1.7342655e-02 2.3983929e-02 2.7568080e-02 ... 2.3643467e+01 2.7457314e+01
 6.5989655e+01]",2992.18896484375,3.7840602256672815
51,2.510847330093384,1.1336749792099,0.14635664224624634,model.layers.7.self_attn.v_proj,[0.01331487 0.01379185 0.01425182 ... 1.0278345  1.072424   1.133675  ],234.29470825195312,0.13681245951386195
52,1.750232219696045,6.293128967285156,0.14622503519058228,model.layers.7.self_attn.o_proj,"[1.4221508e-09 1.1374520e-08 7.2575894e-08 ... 4.5646615e+00 4.6442499e+00
 6.2931290e+00]",1336.3642578125,1.398202118543462
53,2.656594753265381,125.26183319091797,0.11276167631149292,model.layers.7.mlp.gate_proj,"[8.4994316e-02 9.6296333e-02 1.3201107e-01 ... 2.7641027e+01 3.2201962e+01
 1.2526183e+02]",10427.685546875,5.573054319767639
54,3.0323987007141113,11.924015998840332,0.12619322538375854,model.layers.7.mlp.up_proj,"[ 0.10271992  0.11154103  0.12340713 ...  8.767398   10.202312
 11.924016  ]",6286.55859375,3.264142342245648
55,2.7269790172576904,33.7530517578125,0.10593527555465698,model.layers.7.mlp.down_proj,"[1.1544627e-02 3.6694005e-02 5.5989221e-02 ... 1.4509876e+01 1.9693920e+01
 3.3753052e+01]",6250.10791015625,4.167677606509894
56,1.636786699295044,66.61876678466797,0.12729597091674805,model.layers.8.self_attn.q_proj,"[1.6584471e-08 8.7514834e-08 2.2725342e-07 ... 2.7200090e+01 2.9805441e+01
 6.6618767e+01]",4810.52880859375,2.984838641712501
57,1.9951294660568237,57.094364166259766,0.13041728734970093,model.layers.8.self_attn.k_proj,"[1.9326784e-02 2.4347449e-02 2.6628260e-02 ... 2.1133064e+01 2.4618340e+01
 5.7094364e+01]",2944.26318359375,3.50463093455666
58,2.640842914581299,0.9995518326759338,0.1147187352180481,model.layers.8.self_attn.v_proj,[0.00492322 0.00577775 0.00629593 ... 0.92555356 0.9555283  0.99955183],258.6042175292969,-0.0005141198894411744
59,1.706301212310791,9.021697044372559,0.1493316888809204,model.layers.8.self_attn.o_proj,"[1.6705326e-09 5.5111067e-09 5.5963152e-08 ... 4.6577668e+00 4.7192202e+00
 9.0216970e+00]",1388.40234375,1.6300094804124812
60,2.5593581199645996,126.52493286132812,0.1092296838760376,model.layers.8.mlp.gate_proj,"[2.5934450e-02 4.7539085e-02 5.0754216e-02 ... 2.8658875e+01 3.1318827e+01
 1.2652493e+02]",10527.2529296875,5.380221510873871
61,2.9412035942077637,11.335421562194824,0.12140887975692749,model.layers.8.mlp.up_proj,"[ 0.0187479   0.10719599  0.12663184 ...  9.648422   10.032957
 11.335422  ]",6231.28466796875,3.1013158827926177
62,2.7173948287963867,31.244577407836914,0.10795599222183228,model.layers.8.mlp.down_proj,"[8.8546081e-03 1.7080411e-02 1.9753771e-02 ... 1.3497666e+01 1.7968889e+01
 3.1244577e+01]",6209.38671875,4.0618929179348005
63,1.6442981958389282,65.695068359375,0.12541425228118896,model.layers.9.self_attn.q_proj,"[1.8143660e-10 5.4445934e-08 1.3953057e-07 ... 2.7221651e+01 2.9388409e+01
 6.5695068e+01]",4813.61767578125,2.9885658527465897
64,1.9614732265472412,50.945980072021484,0.14437735080718994,model.layers.9.self_attn.k_proj,"[2.4204427e-02 3.9367415e-02 4.0203363e-02 ... 2.3613590e+01 2.7290047e+01
 5.0945980e+01]",2935.94970703125,3.3484504055724176
65,2.3200011253356934,1.4953281879425049,0.12080883979797363,model.layers.9.self_attn.v_proj,[0.01812013 0.02045732 0.02177607 ... 1.3638171  1.4431779  1.4953282 ],349.1268005371094,0.40538892334409804
66,1.7004497051239014,8.813888549804688,0.14268267154693604,model.layers.9.self_attn.o_proj,"[1.2367636e-10 1.2372340e-08 5.9751876e-08 ... 4.8770885e+00 4.9406333e+00
 8.8138885e+00]",1591.4052734375,1.6072098895549833
67,2.520016670227051,145.15232849121094,0.11013621091842651,model.layers.9.mlp.gate_proj,"[2.8995551e-02 3.2701399e-02 5.0949290e-02 ... 2.7825298e+01 3.1378223e+01
 1.4515233e+02]",10790.9677734375,5.447832535859674
68,2.8771438598632812,11.487557411193848,0.11922812461853027,model.layers.9.mlp.up_proj,"[ 0.02121615  0.02392145  0.04275981 ...  8.978754   10.006008
 11.487557  ]",6343.607421875,3.050427602342518
