,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.2986793518066406,934.0857543945312,0.13705140352249146,model.layers.0.self_attn.q_proj,"[3.6474326e-13 1.9846381e-12 2.7863935e-12 ... 1.3718213e+02 2.6891937e+02
 9.3408575e+02]",5288.40673828125,3.8575799375055375
1,1.3894128799438477,334.8189697265625,0.12777650356292725,model.layers.0.self_attn.k_proj,"[4.6355467e-06 6.0263942e-06 1.0004615e-05 ... 7.5582703e+01 1.1962240e+02
 3.3481897e+02]",2788.03466796875,3.5080036107953836
2,2.552546262741089,2.29359769821167,0.1268068552017212,model.layers.0.self_attn.v_proj,[0.00389049 0.00983487 0.01252834 ... 1.3347071  1.7206179  2.2935977 ],177.83029174804688,0.920236944063974
3,1.6979403495788574,20.297332763671875,0.15676891803741455,model.layers.0.self_attn.o_proj,"[2.7609186e-09 7.9192457e-09 4.8854719e-08 ... 7.9402509e+00 8.6253920e+00
 2.0297333e+01]",926.4379272460938,2.219953384828848
4,2.6158576011657715,80.64883422851562,0.08342838287353516,model.layers.0.mlp.gate_proj,"[1.5374922e-02 2.7310042e-02 3.1430442e-02 ... 4.5707275e+01 5.3849201e+01
 8.0648834e+01]",7873.28759765625,4.9873891167766065
5,3.0488247871398926,26.383630752563477,0.10927683115005493,model.layers.0.mlp.up_proj,"[1.7629199e-02 3.1895012e-02 3.4049101e-02 ... 1.4383868e+01 1.8010876e+01
 2.6383631e+01]",6478.68603515625,4.33340003811301
6,3.1654300689697266,37.83666229248047,0.11265319585800171,model.layers.0.mlp.down_proj,"[ 0.12118119  0.1512573   0.16932958 ... 16.128338   17.68785
 37.836662  ]",6447.6162109375,4.994772682675911
7,1.4853074550628662,155.05369567871094,0.14148133993148804,model.layers.1.self_attn.q_proj,"[3.5872784e-14 9.0704909e-12 1.6651997e-11 ... 4.5051178e+01 5.0490261e+01
 1.5505370e+02]",5681.15234375,3.2535394260368125
8,1.6946576833724976,80.29026794433594,0.14139652252197266,model.layers.1.self_attn.k_proj,"[3.8671315e-06 4.1190951e-06 4.2054503e-06 ... 3.5239544e+01 3.8205925e+01
 8.0290268e+01]",2900.958984375,3.227751629994991
9,2.7813918590545654,1.5669761896133423,0.14104998111724854,model.layers.1.self_attn.v_proj,[0.01181846 0.02127496 0.02442391 ... 0.8108073  0.9232725  1.5669762 ],252.52023315429688,0.5425449640337513
